Model,MAE,MSE,RMSE,R2 Score
Linear Regression,1.884519538036385,6.214131945426213,2.4928160673074564,0.6969462267417483
Ridge,1.796547323985883,5.772822709523161,2.402669912726915,0.7184682076537521
Lasso,1.262361628446322,3.827521161962976,1.956405163038315,0.8133376084470749
Elastic Net,1.383152575580807,4.212285960619326,2.052385431788904,0.7945732138262651
